公司代码,年份,词频
000032,2014,8
000032,2015,8
000032,2016,8
000032,2017,18
000032,2018,28
000032,2019,31
000033,2007,0
000033,2008,0
000033,2009,0
000033,2010,0
000033,2011,0
000033,2012,0
000033,2013,0
000033,2014,0
000033,2015,0
000033,2016,13
000034,2007,0
000034,2008,0
000034,2009,0
000034,2010,0
000034,2011,0
000034,2012,0
000034,2013,1
000034,2014,1
000034,2015,0
000034,2016,33
000034,2017,29
000034,2018,80
000034,2019,71
000035,2007,0
000035,2008,0
000035,2009,0
000035,2010,0
000035,2011,0
000035,2012,0
000035,2013,0
000035,2014,0
000035,2015,0
000035,2016,1
000035,2017,8
000035,2018,9
000035,2019,5
000036,2007,0
000036,2008,0
000036,2009,0
000036,2010,0
000036,2011,0
000036,2012,0
000036,2013,0
000036,2014,0
000036,2015,1
000036,2016,2
000036,2017,9
000036,2018,1
000036,2019,0
000037,2007,0
000037,2008,0
000037,2009,0
000037,2010,0
000037,2011,0
000037,2012,0
000037,2013,0
000037,2014,0
000037,2015,0
000037,2016,0
000037,2017,0
000037,2018,0
000037,2019,0
000038,2007,0
000038,2008,0
000038,2009,0
000038,2010,0
000038,2011,0
000038,2012,0
000038,2013,0
000038,2014,0
000038,2015,7
000038,2016,34
000038,2017,39
000038,2018,49
000038,2019,41
000039,2007,0
000039,2008,0
000039,2009,0
000039,2010,0
000039,2011,0
000039,2012,0
000039,2013,0
000039,2014,0
000039,2015,1
000039,2016,1
000039,2017,4
000039,2018,7
000039,2019,9
000040,2007,0
000040,2008,0
000040,2009,0
000040,2010,0
000040,2011,0
000040,2012,0
000040,2013,0
000040,2014,0
000040,2015,1
000040,2016,0
000040,2017,0
000040,2018,5
000040,2019,2
000042,2007,0
000042,2008,0
000042,2009,0
000042,2010,0
000042,2011,0
000042,2012,0
000042,2013,0
000042,2014,0
000042,2015,1
000042,2016,0
000042,2017,0
000042,2018,1
000042,2019,0
000043,2018,11
000043,2007,0
000043,2008,0
000043,2009,0
000043,2010,0
000043,2011,0
000043,2012,0
000043,2013,0
000043,2014,3
000043,2015,3
000043,2016,4
000043,2017,8
000045,2007,0
000045,2008,0
000045,2009,0
000045,2010,0
000045,2011,0
000045,2012,0
000045,2013,0
000045,2014,0
000045,2015,0
000045,2016,0
000045,2017,0
000045,2018,0
000045,2019,0
000048,2007,0
000048,2008,0
000048,2009,0
000048,2010,0
000048,2011,0
000048,2012,0
000048,2013,0
000048,2014,13
000048,2015,5
000048,2016,7
000048,2017,4
000048,2018,3
000048,2019,0
000049,2007,0
000049,2008,0
000049,2009,0
000049,2010,0
000049,2011,0
000049,2012,0
000049,2013,1
000049,2014,1
000049,2015,2
000049,2016,5
000049,2017,9
000049,2018,13
000049,2019,18
000050,2007,0
000050,2008,0
000050,2009,0
000050,2010,0
000050,2011,0
000050,2012,0
000050,2013,0
000050,2014,3
000050,2015,13
000050,2016,22
000050,2017,22
000050,2018,23
000050,2019,29
000055,2007,0
000055,2008,0
000055,2009,0
000055,2010,0
000055,2011,0
000055,2012,0
000055,2013,0
000055,2014,0
000055,2015,0
000055,2016,0
000055,2017,2
000055,2018,0
000055,2019,8
000056,2007,0
000056,2008,0
000056,2009,0
000056,2010,0
000056,2011,0
000056,2012,0
000056,2013,1
000056,2014,1
000056,2015,0
000056,2016,0
000056,2017,1
000056,2018,4
000056,2019,4
000058,2007,0
000058,2008,3
000058,2009,13
000058,2010,24
000058,2011,3
000058,2012,20
000058,2013,22
000058,2014,23
000058,2015,34
000058,2016,43
000058,2017,3
000058,2018,1
000058,2019,1
000059,2007,0
000059,2008,0
000059,2009,0
000059,2010,0
000059,2011,0
000059,2012,0
000059,2013,0
000059,2014,0
000059,2015,0
000059,2016,1
000059,2017,1
000059,2018,1
000059,2019,0
000060,2007,0
000060,2008,0
000060,2009,0
000060,2010,0
000060,2011,0
000060,2012,0
000060,2013,0
000060,2014,0
000060,2015,0
000060,2016,0
000060,2017,0
000060,2018,0
000060,2019,1
000061,2007,4
000061,2008,4
000061,2009,4
000061,2010,3
000061,2011,1
000061,2012,4
000061,2013,20
000061,2014,38
000061,2015,18
000061,2016,10
000061,2017,10
000061,2018,12
000061,2019,7
000062,2007,0
000062,2008,0
000062,2009,7
000062,2010,32
000062,2011,22
000062,2012,51
000062,2013,58
000062,2014,45
000062,2015,38
000062,2016,23
000062,2017,33
000062,2018,35
000062,2019,57
000063,2007,0
000063,2008,0
000063,2009,4
000063,2010,0
000063,2011,14
000063,2012,17
000063,2013,21
000063,2014,35
000063,2015,49
000063,2016,55
000063,2017,32
000063,2018,27
000063,2019,25
000065,2007,0
000065,2008,0
000065,2009,0
000065,2010,0
000065,2011,0
000065,2012,0
000065,2013,0
000065,2014,0
000065,2015,0
000065,2016,1
000065,2017,0
000065,2018,0
000065,2019,0
000066,2007,0
000066,2008,0
000066,2009,1
000066,2010,1
000066,2011,2
000066,2012,6
000066,2013,16
000066,2014,12
000066,2015,13
000066,2016,13
000066,2017,9
000066,2018,20
000066,2019,19
000068,2007,0
000068,2008,0
000068,2009,0
000068,2010,1
000068,2011,4
000068,2012,2
000068,2013,0
000068,2014,0
000068,2015,1
000068,2016,0
000068,2017,0
000068,2018,2
000068,2019,2
000069,2007,0
000069,2008,0
000069,2009,0
000069,2010,0
000069,2011,0
000069,2012,0
000069,2013,4
000069,2014,4
000069,2015,1
000069,2016,2
000069,2017,3
000069,2018,1
000069,2019,6
000070,2007,0
000070,2008,0
000070,2009,1
000070,2010,2
000070,2011,1
000070,2012,0
000070,2013,3
000070,2014,9
000070,2015,7
000070,2016,1
000070,2017,4
000070,2018,3
000070,2019,9
000078,2007,0
000078,2008,0
000078,2009,0
000078,2010,0
000078,2011,0
000078,2012,0
000078,2013,0
000078,2014,6
000078,2015,3
000078,2016,0
000078,2017,2
000078,2018,6
000078,2019,0
000088,2007,0
000088,2008,0
000088,2009,0
000088,2010,0
000088,2011,0
000088,2012,1
000088,2013,1
000088,2014,1
000088,2015,1
000088,2016,1
000088,2017,1
000088,2018,0
000088,2019,0
000089,2007,0
000089,2008,0
000089,2009,0
000089,2010,0
000089,2011,0
000089,2012,1
000089,2013,5
000089,2014,4
000089,2015,2
000089,2016,4
000089,2017,2
000089,2018,0
000089,2019,2
000090,2007,0
000090,2008,0
000090,2009,0
000090,2010,0
000090,2011,0
000090,2012,0
000090,2013,0
000090,2014,0
000090,2015,2
000090,2016,0
000090,2017,0
000090,2018,1
000090,2019,4
000096,2007,0
000096,2008,0
000096,2009,0
000096,2010,0
000096,2011,0
000096,2012,0
000096,2013,0
000096,2014,0
000096,2015,0
000096,2016,0
000096,2017,0
000096,2018,3
000096,2019,8
000099,2007,0
000099,2008,0
000099,2009,0
000099,2010,0
000099,2011,0
000099,2012,0
000099,2013,0
000099,2014,0
000099,2015,0
000099,2016,0
000099,2017,0
000099,2018,0
000099,2019,0
000100,2019,2
000100,2007,0
000100,2008,0
000100,2009,0
000100,2010,0
000100,2011,1
000100,2012,3
000100,2013,13
000100,2014,52
000100,2015,58
000100,2016,27
000100,2017,43
000100,2018,28
000150,2007,0
000150,2008,0
000150,2009,0
000150,2010,0
000150,2011,0
000150,2012,0
000150,2013,0
000150,2014,3
000150,2015,4
